Source.Name,Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Reported,Avg,Median,Percentile (25),Percentile (75),High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO-2021S-ANTH.csv,UBCO,2021,S,ANTH,170,,1,Introduction to Linguistic Anthropology,Rachel Mcgraw,42,80.3,81,75,86,93,61,,,,,,,7,,12,10,
UBCO-2021S-ANTH.csv,UBCO,2021,S,ANTH,227,,1,"Culture, Health, and Illness",Hugo De Burgos,44,80.6,81,76.8,85,92,62,,,,,,,,11,14,11,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,173,,1,Engineering Analysis II,Moos Van Caspel,19,49.1,47,39.5,63,75,0,10,,,,,,,,,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,178,,1,"Electricity, Magnetism, and Waves",Iman Aghanejad,43,45.5,45,40.5,50,90,0,28,7,,,,,,,,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,179,,1,Linear Algebra for Engineers,Maryam Golestani Najafabadi,12,65.6,62.5,60.8,75,85,38,,,,,,,,,,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,181,,1,Dynamics,Reza Sourki,25,69.6,70,59,89,98,0,,,,,,,,,,,6
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,193,,1,Anatomy and Physiology for Engineers,Sabine Weyand;Alexandra Yacyshyn,19,84.9,85,82.5,89.5,97,68,,,,,,,,,,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,201,,1,Technical Communication,Graeme Webb,45,74.9,76,72,81,88,57,,,,,,,11,11,10,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,246,,1,System Dynamics,Saeed Moghaddam,47,69.2,70,58,79,100,36,,,,,,10,,,,,6
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,248,,1,Engineering Analysis III,Houman Alipooramirabad,106,61.8,64,50,75,95,5,23,13,,12,13,8,10,8,6,7,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,252,,1,Thermodynamics,Tharindu Hewa Godella Waththage,39,70.3,72,65.5,83.5,100,7,,,,,6,,,,6,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,255,,1,Electric Circuits and Power,Yuri Rodrigues,45,61.4,62,52,71,94,32,11,,,6,,6,6,,,,
UBCO-2021S-APSC.csv,UBCO,2021,S,APSC,256,,1,Numerical Methods for Analysis,Yuri Rodrigues,82,68,69.5,59.3,80,99,12,,7,10,12,,7,12,,10,8,
